App Name,Company,Date Released,Category,Price,Image URL
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
"Mass Edit + Mass Update + Mass Delete
                     ","App by VersatileCapitalist, Inc",10/3/2017,Admin & Developer Tools,Free,https://partners.salesforce.com/servlet/servlet.FileDownload?file=00P3000000P3QTbEAN
